City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,moranha,27.1833,94.9333,31.06,83,100,2.2,IN,1722245819
84,thompson,55.7435,-97.8558,16.09,94,100,1.54,CA,1722245820
85,qandala,11.472,49.8728,35.43,47,100,1.13,SO,1722245820
86,buka,40.8108,69.1986,41.2,11,0,3.4,UZ,1722245820
87,ta`u,-14.2336,-169.5144,24.85,61,91,9.58,AS,1722245821
88,otelu rosu,45.5333,22.3667,28.77,34,55,2.3,RO,1722245821
89,garachico,28.7781,-17.7646,22.06,69,75,4.12,ES,1722245821
90,nova sintra,14.8667,-24.7167,25.29,73,78,5.0,CV,1722245822
91,baise city,23.8997,106.6133,24.81,98,100,1.28,CN,1722245822
92,kupang,-10.1667,123.5833,29.32,79,40,3.09,ID,1722245822
93,utrik,11.2278,169.8474,26.05,89,100,6.83,MH,1722245823
94,olonkinbyen,70.9221,-8.7187,4.97,98,100,8.3,SJ,1722245823
95,svobodnyy,51.4,128.1333,29.43,38,0,2.72,RU,1722245823
96,fale old settlement,-9.3852,-171.2468,27.31,73,100,9.69,TK,1722245824
97,saacow,1.6279,42.4407,34.6,32,42,7.97,SO,1722245824
98,udachny,66.4167,112.4,18.28,46,42,8.34,RU,1722245824
99,egilsstadir,65.2653,-14.3948,15.95,67,75,8.23,IS,1722245825
100,boende,-0.2167,20.8667,34.76,34,49,2.25,CD,1722245825
101,albany,42.6001,-73.9662,19.96,93,100,1.21,US,1722245664
102,mejit,10.2753,170.8646,26.22,86,100,5.49,MH,1722245826
103,badger,64.8,-147.5333,13.53,92,100,1.54,US,1722245538
104,bridgewater,44.3835,-64.5155,18.71,90,93,3.09,CA,1722245826
105,iqaluit,63.7506,-68.5145,3.85,75,100,6.71,CA,1722245827
106,kununurra,-15.7667,128.7333,28.99,34,99,4.12,AU,1722245827
107,port alfred,-33.5906,26.891,15.66,49,56,3.58,ZA,1722245827
108,sergeyevka,53.88,67.4158,17.95,67,96,6.98,KZ,1722245828
109,joao camara,-5.5375,-35.8197,22.18,93,90,4.9,BR,1722245828
110,margaret river,-33.95,115.0667,15.07,83,100,6.67,AU,1722245828
111,ust'-donetskiy,47.6419,40.8718,35.34,20,48,6.59,RU,1722245828
112,cockburn town,21.4612,-71.1419,27.81,78,75,6.82,TC,1722245829
113,invercargill,-46.4,168.35,5.01,94,100,4.47,NZ,1722245829
114,sol'-iletsk,51.1631,54.9918,25.57,40,100,3.77,RU,1722245829
115,tsiombe,-25.3,45.4833,29.16,23,0,3.97,MG,1722245830
116,sao gabriel da cachoeira,-0.1303,-67.0892,22.78,95,84,0.99,BR,1722245830
117,praya,14.9215,-23.5087,26.3,65,20,4.12,CV,1722245831
118,nemuro,43.3236,145.575,16.37,99,100,11.07,JP,1722245831
